"","ME_EVENT","Cercs","ControlImpact","ControlDay","ControlDay_names","Time"
"1","day30_0",0,0,1,"Day30",1
"2","day30_0",0,0,1,"Day30",2
"3","day30_0",0,0,1,"Day30",3
"4","day30_0",0,0,1,"Day30",4
"5","day30_0",0,0,1,"Day30",5
"6","day30_0",0,0,1,"Day30",6
"7","day30_0",0,0,1,"Day30",7
"8","day30_0",0,0,1,"Day30",8
"9","day30_0",0,0,1,"Day30",9
"10","day30_0",0,0,1,"Day30",10
"11","day30_0",0,0,1,"Day30",11
"12","day30_0",0,0,1,"Day30",12
"13","day30_0",0,0,1,"Day30",13
"14","day30_0",0,0,1,"Day30",14
"15","day30_0",0,0,1,"Day30",15
"16","day30_0",0,0,1,"Day30",16
"17","day30_0",0,0,1,"Day30",17
"18","day30_0",0,0,1,"Day30",18
"19","day30_0",0,0,1,"Day30",19
"20","day30_0",0,0,1,"Day30",20
"21","day30_0",0,0,1,"Day30",21
"22","day30_0",0,0,1,"Day30",22
"23","day30_0",0,0,1,"Day30",23
"24","day30_0",0,0,1,"Day30",24
"25","day30_0",0,0,1,"Day30",25
"26","day30_0",0,0,1,"Day30",26
"27","day30_0",0,0,1,"Day30",27
"28","day30_0",0,0,1,"Day30",28
"29","day30_0",0,0,1,"Day30",29
"30","day30_0",0.004,0,1,"Day30",30
"31","day30_0",0.00947151776468577,0,1,"Day30",31
"32","day30_0",0.015484376662318,0,1,"Day30",32
"33","day30_0",0.0196963838334217,0,1,"Day30",33
"34","day30_0",0.0392458946777374,0,1,"Day30",34
"35","day30_0",0.0544377578023193,0,1,"Day30",35
"36","day30_0",0.0900265319189436,0,1,"Day30",36
"37","day30_0",0.127118910252944,0,1,"Day30",37
"38","day30_0",0.196764433666176,0,1,"Day30",38
"39","day30_0",0.284385589899528,0,1,"Day30",39
"40","day30_0",0.402619611889449,0,1,"Day30",40
"41","day30_0",0.568115477826553,0,1,"Day30",41
"42","day30_0",0.772998004503679,0,1,"Day30",42
"43","day30_0",1.03237007392345,0,1,"Day30",43
"44","day30_0",1.38378772587708,0,1,"Day30",44
"45","day30_0",1.79306705529556,0,1,"Day30",45
"46","day30_0",2.27763250628505,0,1,"Day30",46
"47","day30_0",2.85189417360606,0,1,"Day30",47
"48","day30_0",3.50315323486629,0,1,"Day30",48
"49","day30_0",4.25073805438054,0,1,"Day30",49
"50","day30_0",5.0777591400117,0,1,"Day30",50
"51","day30_0",5.98400319483069,0,1,"Day30",51
"52","day30_0",6.96139175128244,0,1,"Day30",52
"53","day30_0",8.02095290723727,0,1,"Day30",53
"54","day30_0",9.1667436731769,0,1,"Day30",54
"55","day30_0",10.3602565398502,0,1,"Day30",55
"56","day30_0",11.6853253862729,0,1,"Day30",56
"57","day30_0",12.5927909730085,0,1,"Day30",57
"58","day30_0",13.3326289059391,0,1,"Day30",58
"59","day30_0",14.1908000712631,0,1,"Day30",59
"60","day30_0",15.6125035999919,0,1,"Day30",60
"61","day30_0",16.4135190996522,0,1,"Day30",61
"62","day30_0",17.9761962340368,0,1,"Day30",62
"63","day30_0",19.8870730249656,0,1,"Day30",63
